StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Spatial Timer_1,Spatial Timer_2,Spatial Timer_3,Spatial Timer_4,Spatial Timer_5,Spatial Timer_6,Spatial Timer_7,Spatial Timer_8,Spatial Timer_9,Spatial Timer_10,Baseline_1,Baseline_2,Baseline_3,Baseline_4,Baseline_5,Baseline_6,Baseline_7,Baseline_8,Baseline_9,Baseline_10
08/02/2024 19:12,08/02/2024 19:42,IP Address,109.144.212.209,100,1795,TRUE,08/02/2024 19:42,R_8E4Bwux6iXWaChG,,,,,51.5088,-0.093,anonymous,EN-GB,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree
08/02/2024 19:51,08/02/2024 19:54,IP Address,109.144.212.209,100,131,TRUE,08/02/2024 19:54,R_3thQJVTou7IxOGR,,,,,51.4964,-0.1224,anonymous,EN-GB,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
13/02/2024 15:11,13/02/2024 15:13,IP Address,130.209.157.54,100,130,TRUE,13/02/2024 15:13,R_2oWIj2izlcGSaw6,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
13/02/2024 15:14,13/02/2024 15:16,IP Address,130.209.157.54,100,164,TRUE,13/02/2024 15:16,R_8RYSZhALoOgvAUp,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree
13/02/2024 18:08,13/02/2024 18:09,IP Address,130.209.157.54,100,97,TRUE,13/02/2024 18:09,R_8GZFquneuzfxaNF,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
13/02/2024 18:28,13/02/2024 18:32,IP Address,130.209.157.54,100,220,TRUE,13/02/2024 18:32,R_2zl6NliS9IGY6w0,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
15/02/2024 19:21,15/02/2024 19:24,IP Address,130.209.157.50,100,200,TRUE,15/02/2024 19:24,R_2psd0nfq6Fx8dgt,,,,,55.8803,-4.3055,anonymous,EN-GB,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
15/02/2024 19:39,15/02/2024 19:42,IP Address,130.209.157.50,100,144,TRUE,15/02/2024 19:42,R_3U0bcnAZGRlX1Yt,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
16/02/2024 10:08,16/02/2024 10:17,IP Address,130.209.157.48,100,540,TRUE,16/02/2024 10:17,R_2kM6VU4zDIXkzs3,,,,,55.8803,-4.3055,anonymous,EN-GB,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
17/02/2024 12:48,17/02/2024 12:53,IP Address,130.209.157.49,100,253,TRUE,17/02/2024 12:53,R_3B8UBfJc1Trvhpn,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
19/02/2024 14:53,19/02/2024 14:56,IP Address,130.209.157.50,100,187,TRUE,19/02/2024 14:56,R_3PjCBTLpWaYBcDA,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
19/02/2024 14:58,19/02/2024 15:03,IP Address,130.209.157.50,100,271,TRUE,19/02/2024 15:03,R_2xFtdwrfcfqbBPn,,,,,55.8803,-4.3055,anonymous,EN-GB,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree
20/02/2024 11:18,20/02/2024 11:20,IP Address,130.209.157.50,100,120,TRUE,20/02/2024 11:20,R_8cbeSCb9ozDxAE4,,,,,55.8803,-4.3055,anonymous,EN-GB,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
20/02/2024 15:02,20/02/2024 15:08,IP Address,130.209.157.50,100,356,TRUE,20/02/2024 15:08,R_6pkT2zQR1z14wac,,,,,55.8803,-4.3055,anonymous,EN-GB,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
23/02/2024 10:54,23/02/2024 10:57,IP Address,130.209.157.54,100,167,TRUE,23/02/2024 10:57,R_2whOxihXGX18ob7,,,,,55.8803,-4.3055,anonymous,EN-GB,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
